사용월,호선명,역ID,지하철역,승차승객수,하차승객수,
Dec.21,분당선,149,수서,"374,875","388,458",
Dec.21,분당선,150,복정,16,0,
Dec.21,분당선,314,수원,"230,286","197,596",
Dec.21,분당선,315,서울숲,"278,153","284,001",
Dec.21,분당선,316,압구정로데오,"542,480","601,345",
Dec.21,분당선,317,강남구청,"266,857","306,247",
Dec.21,분당선,318,선정릉,"202,027","215,298",
Dec.21,분당선,319,가천대,"214,738","237,560",
Dec.21,분당선,320,태평,"374,552","358,851",
Dec.21,분당선,321,모란,"566,526","576,334",
Dec.21,분당선,322,야탑,"697,932","727,657",
Dec.21,분당선,323,서현,"692,569","699,704",
Dec.21,분당선,324,수내,"353,429","350,640",
Dec.21,분당선,325,정자,"453,786","481,973",
Dec.21,분당선,326,미금,"416,343","440,137",
Dec.21,분당선,327,오리,"317,265","262,657",
Dec.21,분당선,328,이매,"154,282","146,716",
Dec.21,분당선,329,보정,"66,043","58,078",
Dec.21,분당선,330,죽전,"368,303","405,121",
Dec.21,분당선,331,구성,"134,255","141,537",
Dec.21,분당선,332,신갈,"122,031","120,085",
Dec.21,분당선,333,기흥,"263,016","248,515",
Dec.21,분당선,334,상갈,"144,286","139,159",
Dec.21,분당선,335,청명,"114,505","109,795",
Dec.21,분당선,336,영통,"235,628","236,755",
Dec.21,분당선,337,망포,"387,902","366,782",
Dec.21,분당선,338,매탄권선,"137,495","131,399",
Dec.21,분당선,339,수원시청,"358,750","387,600",
Dec.21,분당선,340,매교,"80,767","80,884",
Dec.21,일산선,375,원흥,"285,906","269,776",
Dec.21,일산선,376,지축,11,0,
Dec.21,일산선,377,삼송,"521,515","505,974",
Dec.21,일산선,378,원당,"299,605","283,078",
Dec.21,일산선,379,화정,"459,556","471,798",
Dec.21,일산선,380,대곡,"50,756","40,453",
Dec.21,일산선,381,백석,"270,063","270,132",
Dec.21,일산선,382,마두,"198,849","204,021",
Dec.21,일산선,383,정발산,"203,601","206,245",
Dec.21,일산선,384,주엽,"236,676","235,662",
Dec.21,일산선,385,대화,"345,942","283,621",
Dec.21,중앙선,135,회기,"666,942","640,649",
Dec.21,중앙선,152,중랑,"152,322","144,204",
Dec.21,중앙선,153,상봉(시외버스터미널),"160,771","159,176",
Dec.21,중앙선,154,망우,"209,944","208,468",
Dec.21,중앙선,155,양원,"55,024","54,520",
Dec.21,중앙선,156,구리,"365,492","370,211",
Dec.21,중앙선,157,도농,"280,125","255,318",
Dec.21,중앙선,158,양정,"19,042","16,247",
Dec.21,중앙선,159,덕소,"150,900","149,475",
Dec.21,중앙선,160,도심,"62,970","49,793",
Dec.21,중앙선,161,팔당,"25,651","26,665",
Dec.21,중앙선,162,운길산,"19,022","17,638",
Dec.21,중앙선,163,양수,"47,494","48,223",
Dec.21,중앙선,164,신원,"5,350","4,718",
Dec.21,중앙선,165,국수,"19,077","18,652",
Dec.21,중앙선,166,아신,"14,118","14,217",
Dec.21,중앙선,167,오빈,"7,695","7,695",
Dec.21,중앙선,168,양평,"75,938","77,109",
Dec.21,중앙선,169,원덕,"9,116","8,804",
Dec.21,중앙선,170,용문,"49,726","49,909",
Dec.21,중앙선,171,지평,"1,659","1,809",
Dec.21,장항선,224,봉명,"30,449","29,171",
Dec.21,장항선,225,쌍용(나사렛대),"57,232","53,202",
Dec.21,장항선,226,아산,"90,473","81,818",
Dec.21,장항선,227,탕정,"10,559","9,456",
Dec.21,장항선,228,배방,"28,246","27,438",
Dec.21,장항선,229,온양온천,"100,098","103,181",
Dec.21,장항선,230,신창(순천향대),"43,040","40,396",
Dec.21,경의선,172,서울역,"103,552","129,411",
Dec.21,경의선,173,신촌,"20,968","25,669",
Dec.21,경의선,174,효창공원앞,"77,097","88,448",
Dec.21,경의선,175,공덕,"96,432","84,054",
Dec.21,경의선,176,서강대,"57,905","56,422",
Dec.21,경의선,177,홍대입구,"49,497","58,943",
Dec.21,경의선,178,가좌,"141,295","135,560",
Dec.21,경의선,179,디지털미디어시티,"66,880","62,455",
Dec.21,경의선,180,수색,"69,771","71,997",
Dec.21,경의선,181,화전,"49,798","45,211",
Dec.21,경의선,182,강매,"83,768","73,254",
Dec.21,경의선,183,행신,"210,305","211,254",
Dec.21,경의선,184,능곡,"102,039","94,675",
Dec.21,경의선,185,곡산,"15,116","15,769",
Dec.21,경의선,186,백마,"181,208","174,143",
Dec.21,경의선,187,풍산,"151,561","142,125",
Dec.21,경의선,188,일산,"249,482","246,602",
Dec.21,경의선,189,탄현,"207,308","197,830",
Dec.21,경의선,190,야당,"198,578","194,203",
Dec.21,경의선,191,운정,"188,038","179,252",
Dec.21,경의선,192,금릉,"131,704","127,399",
Dec.21,경의선,193,금촌,"176,867","176,556",
Dec.21,경의선,194,월롱,"68,248","63,819",
Dec.21,경의선,195,파주,"36,106","24,636",
Dec.21,경의선,196,문산,"139,396","138,478",
Dec.21,경의선,197,임진강,536,496,
Dec.21,경의선,203,계양,8,0,
Dec.21,경의선,204,검암,2,0,
Dec.21,경춘선,205,신내,"54,287","51,296",
Dec.21,경춘선,206,갈매,"81,473","70,587",
Dec.21,경춘선,207,별내,"90,735","85,412",
Dec.21,경춘선,208,퇴계원,"96,972","88,689",
Dec.21,경춘선,209,사릉,"89,414","85,828",
Dec.21,경춘선,210,금곡,"40,150","38,333",
Dec.21,경춘선,211,평내호평,"163,587","159,288",
Dec.21,경춘선,212,천마산,"44,800","41,852",
Dec.21,경춘선,213,마석,"103,856","102,521",
Dec.21,경춘선,214,대성리,"12,951","11,716",
Dec.21,경춘선,215,청평,"42,146","41,508",
Dec.21,경춘선,216,상천,"6,420","6,038",
Dec.21,경춘선,217,가평,"43,131","43,634",
Dec.21,경춘선,218,굴봉산,"3,532","3,928",
Dec.21,경춘선,219,백양리,"6,239","5,819",
Dec.21,경춘선,220,강촌,"11,735","11,686",
Dec.21,경춘선,221,김유정,"9,082","9,280",
Dec.21,경춘선,222,남춘천,"68,115","69,225",
Dec.21,경춘선,223,춘천,"37,942","34,225",
Dec.21,수인선,341,고색,"119,250","112,969",
Dec.21,수인선,342,오목천,"83,490","76,311",
Dec.21,수인선,343,어천,"20,564","19,998",
Dec.21,수인선,344,야목,"8,671","6,718",
Dec.21,수인선,345,사리,"123,210","107,621",
Dec.21,수인선,346,달월,"2,624","1,802",
Dec.21,수인선,347,월곶,"71,622","67,507",
Dec.21,수인선,348,소래포구,"141,171","134,410",
Dec.21,수인선,349,인천논현,"149,008","158,365",
Dec.21,수인선,350,호구포,"106,775","109,631",
Dec.21,수인선,351,남동인더스파크,"56,490","62,330",
Dec.21,수인선,352,원인재,"122,192","126,993",
Dec.21,수인선,353,연수,"124,996","124,435",
Dec.21,수인선,354,송도,"68,150","64,345",
Dec.21,수인선,355,인하대,"160,705","150,229",
Dec.21,수인선,356,숭의,"106,354","99,026",
Dec.21,수인선,357,신포,"48,566","49,166",
Dec.21,수인선,358,인천,"28,668","45,666",
Dec.21,경강선,239,판교,"127,056","125,816",
Dec.21,경강선,240,이매,"30,384","25,224",
Dec.21,경강선,241,삼동,"62,647","57,828",
Dec.21,경강선,242,경기광주,"203,902","193,625",
Dec.21,경강선,243,초월,"84,339","80,523",
Dec.21,경강선,244,곤지암,"62,227","60,811",
Dec.21,경강선,245,신둔도예촌,"39,070","36,731",
Dec.21,경강선,246,이천,"75,208","78,341",
Dec.21,경강선,247,부발,"59,850","55,315",
Dec.21,경강선,248,세종대왕릉,"8,505","8,365",
Dec.21,경강선,249,여주,"60,656","61,230",
Dec.21,5호선,386,방화,"180,690","174,984",
Dec.21,5호선,387,개화산,"148,343","141,559",
Dec.21,5호선,388,김포공항,"220,215","208,251",
Dec.21,5호선,389,송정,"179,387","169,676",
Dec.21,5호선,390,마곡,"274,329","272,514",
Dec.21,5호선,391,발산,"533,537","550,449",
Dec.21,5호선,392,우장산,"381,038","376,862",
Dec.21,5호선,393,화곡,"763,039","711,434",
Dec.21,5호선,394,까치산,"782,881","753,426",
Dec.21,5호선,395,신정(은행정),"368,548","301,534",
Dec.21,5호선,396,목동,"441,239","475,120",
Dec.21,5호선,397,오목교(목동운동장앞),"588,661","630,663",
Dec.21,5호선,398,양평,"194,385","191,997",
Dec.21,5호선,399,영등포구청,"97,790","101,124",
Dec.21,5호선,400,영등포시장,"271,582","281,057",
Dec.21,5호선,401,신길,"108,754","117,559",
Dec.21,5호선,402,여의도,"717,377","744,872",
Dec.21,5호선,403,여의나루,"226,495","257,294",
Dec.21,5호선,404,마포,"371,488","381,337",
Dec.21,5호선,405,공덕,"355,988","379,200",
Dec.21,5호선,406,애오개,"175,750","176,776",
Dec.21,5호선,407,충정로(경기대입구),"121,449","122,753",
Dec.21,5호선,408,서대문,"467,532","472,669",
Dec.21,5호선,409,광화문(세종문화회관),"778,061","807,701",
Dec.21,5호선,410,종로3가,"340,817","338,735",
Dec.21,5호선,411,을지로4가,"154,338","157,291",
Dec.21,5호선,412,동대문역사문화공원(DDP),"73,000","85,553",
Dec.21,5호선,413,청구,"105,584","97,237",
Dec.21,5호선,414,신금호,"171,666","177,834",
Dec.21,5호선,415,행당,"215,161","192,500",
Dec.21,5호선,416,왕십리(성동구청),"127,457","145,866",
Dec.21,5호선,417,마장,"152,933","144,529",
Dec.21,5호선,418,답십리,"428,582","392,401",
Dec.21,5호선,419,장한평,"490,947","488,665",
Dec.21,5호선,420,군자(능동),"306,602","337,015",
Dec.21,5호선,421,아차산(어린이대공원후문),"400,298","386,376",
